3,33
3,33,30
2,33,30,28
2,33,30,28,31
2,17
2,17,25
1,17,25,10
0,17,25,10,5
2,33
2,33,27
2,33,27,32
2,33,27,32,26
4,28
4,28,28
4,28,28,30
4,28,28,30,32
