2,9
1,9,33
0,9,33,7
0,9,33,7,15
2,29
2,29,0
2,29,0,30
2,29,0,30,33
2,29,0,30,33,7
2,27
2,27,19
2,27,19,23
1,27,19,23,8
1,27,19,23,8,2
4,8
4,8,27
3,8,27,30
3,8,27,30,28
