3,17
2,17,30
2,17,30,26
1,17,30,26,28
3,9
3,9,28
3,9,28,16
3,9,28,16,2
2,28
2,28,8
1,28,8,33
0,28,8,33,25
3,9
3,9,17
3,9,17,31
3,9,17,31,10
3,9,17,31,10,27
