3,27
3,27,30
2,27,30,10
1,27,30,10,19
1,27,30,10,19,29
1,27,30,10,19,29,16
1,27,30,10,19,29,16,8
0,27,30,10,19,29,16,8,2
0,27,30,10,19,29,16,8,2,24
0,27,30,10,19,29,16,8,2,24,33
3,29
3,29,8
2,29,8,10
1,29,8,10,33
1,29,8,10,33,17
1,29,8,10,33,17,20
1,29,8,10,33,17,20,17
1,29,8,10,33,17,20,17,1
1,29,8,10,33,17,20,17,1,1
1,29,8,10,33,17,20,17,1,1,13
1,29,8,10,33,17,20,17,1,1,13,23
5,30
5,30,31
5,30,31,32
4,30,31,32,18
4,30,31,32,18,9
3,30,31,32,18,9,11
2,30,31,32,18,9,11,7
1,30,31,32,18,9,11,7,15
1,30,31,32,18,9,11,7,15,29
2,30,31,32,18,9,11,7,15,29,2
2,30,31,32,18,9,11,7,15,29,2,1
3,0
3,0,18
3,0,18,26
3,0,18,26,10
3,0,18,26,10,25
3,0,18,26,10,25,20
2,0,18,26,10,25,20,16
2,0,18,26,10,25,20,16,23
2,0,18,26,10,25,20,16,23,30
2,0,18,26,10,25,20,16,23,30,8
2,0,18,26,10,25,20,16,23,30,8,33
4,8
3,8,17
3,8,17,33
3,8,17,33,11
2,8,17,33,11,5
2,8,17,33,11,5,30
2,8,17,33,11,5,30,6
2,8,17,33,11,5,30,6,26
2,8,17,33,11,5,30,6,26,26
3,8,17,33,11,5,30,6,26,26,19
3,8,17,33,11,5,30,6,26,26,19,14
3,28
3,28,31
3,28,31,30
2,28,31,30,7
2,28,31,30,7,29
2,28,31,30,7,29,9
2,28,31,30,7,29,9,0
1,28,31,30,7,29,9,0,26
1,28,31,30,7,29,9,0,26,12
1,28,31,30,7,29,9,0,26,12,18
2,28,31,30,7,29,9,0,26,12,18,17
1,27
1,27,31
1,27,31,12
1,27,31,12,27
1,27,31,12,27,6
1,27,31,12,27,6,15
0,27,31,12,27,6,15,26
0,27,31,12,27,6,15,26,19
0,27,31,12,27,6,15,26,19,12
0,27,31,12,27,6,15,26,19,12,14
0,27,31,12,27,6,15,26,19,12,14,28
3,28
2,28,19
2,28,19,16
1,28,19,16,5
1,28,19,16,5,3
1,28,19,16,5,3,19
1,28,19,16,5,3,19,6
2,28,19,16,5,3,19,6,33
2,28,19,16,5,3,19,6,33,33
2,28,19,16,5,3,19,6,33,33,31
2,28,19,16,5,3,19,6,33,33,31,30
2,28,19,16,5,3,19,6,33,33,31,30,32
3,9
3,9,33
2,9,33,26
2,9,33,26,2
1,9,33,26,2,5
0,9,33,26,2,5,13
0,9,33,26,2,5,13,27
0,9,33,26,2,5,13,27,5
0,9,33,26,2,5,13,27,5,6
2,33
1,33,1
1,33,1,1
1,33,1,1,8
1,33,1,1,8,28
1,33,1,1,8,28,10
1,33,1,1,8,28,10,11
1,33,1,1,8,28,10,11,28
1,33,1,1,8,28,10,11,28,4
3,27
3,27,18
3,27,18,18
3,27,18,18,26
3,27,18,18,26,26
3,27,18,18,26,26,1
2,27,18,18,26,26,1,32
2,27,18,18,26,26,1,32,2
2,27,18,18,26,26,1,32,2,19
1,32
1,32,22
1,32,22,6
1,32,22,6,21
1,32,22,6,21,30
1,32,22,6,21,30,19
1,32,22,6,21,30,19,30
1,32,22,6,21,30,19,30,31
1,32,22,6,21,30,19,30,31,8
