2,31
1,31,1
1,31,1,4
0,31,1,4,27
4,31
3,31,26
3,31,26,27
3,31,26,27,1
1,12
1,12,6
1,12,6,1
2,12,6,1,7
5,27
4,27,10
4,27,10,33
3,27,10,33,4
