4,9
3,9,0
3,9,0,2
3,9,0,2,0
3,9,0,2,0,8
3,9,0,2,0,8,16
3,9,0,2,0,8,16,15
3,9,0,2,0,8,16,15,10
3,9,0,2,0,8,16,15,10,19
2,9,0,2,0,8,16,15,10,19,17
2,9,0,2,0,8,16,15,10,19,17,18
1,9,0,2,0,8,16,15,10,19,17,18,20
2,9,0,2,0,8,16,15,10,19,17,18,20,7
2,9,0,2,0,8,16,15,10,19,17,18,20,7,28
2,9,0,2,0,8,16,15,10,19,17,18,20,7,28,28
2,9,0,2,0,8,16,15,10,19,17,18,20,7,28,28,31
1,9,0,2,0,8,16,15,10,19,17,18,20,7,28,28,31,31
2,8
2,8,28
2,8,28,27
2,8,28,27,6
2,8,28,27,6,29
2,8,28,27,6,29,18
2,8,28,27,6,29,18,19
1,8,28,27,6,29,18,19,19
1,8,28,27,6,29,18,19,19,30
1,8,28,27,6,29,18,19,19,30,29
1,8,28,27,6,29,18,19,19,30,29,7
1,8,28,27,6,29,18,19,19,30,29,7,26
1,8,28,27,6,29,18,19,19,30,29,7,26,10
0,8,28,27,6,29,18,19,19,30,29,7,26,10,13
0,8,28,27,6,29,18,19,19,30,29,7,26,10,13,32
0,8,28,27,6,29,18,19,19,30,29,7,26,10,13,32,23
0,8,28,27,6,29,18,19,19,30,29,7,26,10,13,32,23,26
0,8,28,27,6,29,18,19,19,30,29,7,26,10,13,32,23,26,18
4,0
4,0,17
4,0,17,16
4,0,17,16,26
3,0,17,16,26,19
2,0,17,16,26,19,4
2,0,17,16,26,19,4,15
2,0,17,16,26,19,4,15,29
2,0,17,16,26,19,4,15,29,26
2,0,17,16,26,19,4,15,29,26,16
2,0,17,16,26,19,4,15,29,26,16,15
2,0,17,16,26,19,4,15,29,26,16,15,15
3,0,17,16,26,19,4,15,29,26,16,15,15,10
3,0,17,16,26,19,4,15,29,26,16,15,15,10,14
3,0,17,16,26,19,4,15,29,26,16,15,15,10,14,9
2,0,17,16,26,19,4,15,29,26,16,15,15,10,14,9,32
2,0,17,16,26,19,4,15,29,26,16,15,15,10,14,9,32,28
3,0,17,16,26,19,4,15,29,26,16,15,15,10,14,9,32,28,27
2,21
2,21,27
2,21,27,8
2,21,27,8,16
2,21,27,8,16,17
2,21,27,8,16,17,10
1,21,27,8,16,17,10,21
1,21,27,8,16,17,10,21,1
1,21,27,8,16,17,10,21,1,0
0,21,27,8,16,17,10,21,1,0,14
1,21,27,8,16,17,10,21,1,0,14,9
1,21,27,8,16,17,10,21,1,0,14,9,20
1,21,27,8,16,17,10,21,1,0,14,9,20,9
1,21,27,8,16,17,10,21,1,0,14,9,20,9,29
0,21,27,8,16,17,10,21,1,0,14,9,20,9,29,13
1,21,27,8,16,17,10,21,1,0,14,9,20,9,29,13,32
0,21,27,8,16,17,10,21,1,0,14,9,20,9,29,13,32,8
