3,27
2,27,31
1,27,31,6
1,27,31,6,1
1,27,31,6,1,0
1,27,31,6,1,0,13
1,27,31,6,1,0,13,4
1,27,31,6,1,0,13,4,12
1,27,31,6,1,0,13,4,12,21
1,27,31,6,1,0,13,4,12,21,21
3,17
3,17,26
3,17,26,29
2,17,26,29,31
2,17,26,29,31,25
2,17,26,29,31,25,17
2,17,26,29,31,25,17,23
2,17,26,29,31,25,17,23,22
2,17,26,29,31,25,17,23,22,28
1,17,26,29,31,25,17,23,22,28,6
1,17,26,29,31,25,17,23,22,28,6,7
1,17,26,29,31,25,17,23,22,28,6,7,31
2,8
2,8,5
2,8,5,16
2,8,5,16,32
2,8,5,16,32,9
2,8,5,16,32,9,7
2,8,5,16,32,9,7,20
2,8,5,16,32,9,7,20,12
1,8,5,16,32,9,7,20,12,16
1,8,5,16,32,9,7,20,12,16,17
1,8,5,16,32,9,7,20,12,16,17,11
2,8
2,8,16
2,8,16,10
2,8,16,10,28
2,8,16,10,28,22
2,8,16,10,28,22,25
2,8,16,10,28,22,25,25
2,8,16,10,28,22,25,25,10
2,8,16,10,28,22,25,25,10,26
1,8,16,10,28,22,25,25,10,26,4
1,8,16,10,28,22,25,25,10,26,4,6
