2,9
1,9,33
1,9,33,10
1,9,33,10,11
1,9,33,10,11,1
4,29
3,29,10
3,29,10,17
2,29,10,17,16
2,29,10,17,16,20
4,30
4,30,18
4,30,18,1
1,26
1,26,1
1,26,1,17
