3,0
2,0,29
2,0,29,18
2,0,29,18,30
2,0,29,18,30,26
5,17
4,17,29
4,17,29,30
4,17,29,30,32
4,17,29,30,32,33
4,17,29,30,32,33,33
2,27
2,27,0
1,27,0,28
0,27,0,28,26
0,27,0,28,26,29
4,30
4,30,30
3,30,30,9
3,30,30,9,0
3,30,30,9,0,33
4,26
3,26,18
3,26,18,28
2,26,18,28,33
2,26,18,28,33,26
2,26,18,28,33,26,5
2,26,18,28,33,26,5,17
2,26,18,28,33,26,5,17,17
2,26,18,28,33,26,5,17,17,33
1,26,18,28,33,26,5,17,17,33,1
1,26,18,28,33,26,5,17,17,33,1,26
5,26
4,26,0
5,26,0,23
4,26,0,23,33
4,26,0,23,33,29
5,26,0,23,33,29,4
4,26,0,23,33,29,4,17
3,26,0,23,33,29,4,17,32
3,26,0,23,33,29,4,17,32,29
3,26,0,23,33,29,4,17,32,29,15
2,26,0,23,33,29,4,17,32,29,15,16
2,30
1,30,13
0,30,13,23
0,30,13,23,29
0,30,13,23,29,5
0,30,13,23,29,5,4
0,30,13,23,29,5,4,17
0,30,13,23,29,5,4,17,32
0,30,13,23,29,5,4,17,32,25
0,30,13,23,29,5,4,17,32,25,15
0,30,13,23,29,5,4,17,32,25,15,16
3,27
3,27,28
3,27,28,23
3,27,28,23,30
2,27,28,23,30,30
2,27,28,23,30,30,5
2,27,28,23,30,30,5,2
3,27,28,23,30,30,5,2,2
3,27,28,23,30,30,5,2,2,25
4,27,28,23,30,30,5,2,2,25,1
4,27,28,23,30,30,5,2,2,25,1,27
