3,17
3,17,28
3,17,28,27
3,17,28,27,18
3,17,28,27,18,0
3,0
2,0,27
1,0,27,7
0,0,27,7,21
4,32
4,32,27
4,32,27,29
4,32,27,29,7
3,8
2,8,26
2,8,26,0
1,8,26,0,30
1,8,26,0,30,28
