3,18
3,18,9
3,18,9,30
3,18,9,30,33
3,29
3,29,24
2,29,24,28
2,29,24,28,1
3,18
3,18,0
3,18,0,30
3,18,0,30,33
2,1
1,1,18
0,1,18,33
