3,9
3,9,26
3,9,26,28
2,26
1,26,28
0,26,28,23
0,26,28,23,2
3,28
2,28,1
1,28,1,7
1,28,1,7,14
3,16
2,16,18
2,16,18,13
3,16,18,13,22
