3,30
3,30,27
3,30,27,25
3,30,27,25,28
4,27
4,27,29
3,27,29,33
3,27,29,33,8
4,30
4,30,31
4,30,31,29
3,30,31,29,1
3,30,31,29,1,28
3,31
2,31,33
1,31,33,1
0,31,33,1,8
