1,9
1,9,33
0,9,33,7
0,9,33,7,16
0,9,33,7,16,16
3,26
3,26,28
2,26,28,8
2,26,28,8,17
5,0
5,0,28
5,0,28,33
4,0,28,33,17
2,28
2,28,18
1,28,18,24
1,28,18,24,19
0,28,18,24,19,5
