3,30
2,30,9
2,30,9,0
2,30,9,0,26
1,22
1,22,16
1,22,16,8
0,22,16,8,3
4,29
4,29,30
3,29,30,8
3,29,30,8,28
4,18
3,18,10
2,18,10,28
2,18,10,28,16
