3,16
2,16,1
1,16,1,32
1,16,1,32,29
1,16,1,32,29,11
1,16,1,32,29,11,7
1,16,1,32,29,11,7,0
1,16,1,32,29,11,7,0,28
1,16,1,32,29,11,7,0,28,7
2,16,1,32,29,11,7,0,28,7,27
4,30
3,30,31
3,30,31,8
2,30,31,8,7
2,30,31,8,7,15
1,30,31,8,7,15,25
1,30,31,8,7,15,25,0
1,30,31,8,7,15,25,0,29
0,30,31,8,7,15,25,0,29,21
0,30,31,8,7,15,25,0,29,21,31
2,28
1,28,24
1,28,24,1
1,28,24,1,7
1,28,24,1,7,30
1,28,24,1,7,30,15
1,28,24,1,7,30,15,8
1,28,24,1,7,30,15,8,8
1,28,24,1,7,30,15,8,8,33
1,28,24,1,7,30,15,8,8,33,31
4,30
4,30,28
4,30,28,32
3,30,28,32,18
2,30,28,32,18,33
2,30,28,32,18,33,29
2,30,28,32,18,33,29,28
1,30,28,32,18,33,29,28,3
0,30,28,32,18,33,29,28,3,12
0,30,28,32,18,33,29,28,3,12,13
3,29
3,29,18
3,29,18,17
2,29,18,17,25
3,29
3,29,31
2,29,31,1
2,26
1,26,1
0,26,1,11
0,26,1,11,28
4,9
4,9,29
3,9,29,31
3,9,29,31,28
