4,32
4,32,32
4,32,32,30
3,32,32,30,31
3,33
3,33,14
3,33,14,19
0,14
0,14,6
0,14,6,19
0,14,6,19,17
5,14
6,14,32
5,14,32,19
6,14,32,19,17
