4,32
3,32,30
3,32,30,26
3,32,30,26,29
2,32,30,26,29,10
2,28
1,28,26
1,28,26,31
0,28,26,31,18
4,28
4,28,29
3,28,29,30
3,28,29,30,8
3,32
2,32,23
2,32,23,30
2,32,23,30,0
1,32,23,30,0,30
