4,27
3,27,27
3,27,27,32
3,27,27,32,19
0,24
0,24,29
0,24,29,19
0,24,29,19,10
0,24,29,19,10,2
4,24
3,24,32
4,24,32,19
3,24,32,19,10
3,24,32,19,10,18
4,30
3,30,32
2,30,32,29
2,30,32,29,31
