3,18
3,18,32
2,18,32,33
2,18,32,33,30
3,18
2,18,29
1,18,29,33
0,18,29,33,31
2,17
2,17,31
2,17,31,26
2,17,31,26,28
3,9
2,9,19
1,9,19,32
1,9,19,32,6
