3,26
2,26,18
1,26,18,6
2,26,18,6,31
1,32
1,32,18
0,32,18,6
0,32,18,6,0
4,30
4,30,32
4,30,32,6
4,30,32,6,0
3,9
3,9,10
3,9,10,0
2,9,10,0,8
