4,30
3,30,8
2,30,8,33
2,30,8,33,31
3,28
3,28,33
2,28,33,8
2,28,33,8,21
2,7
1,7,21
0,7,21,31
0,7,21,31,4
3,29
3,29,27
3,29,27,31
4,29,27,31,6
